Company,Symbol:Sector,NYSE,NASDAQ,,Ticker symbol,Company
People's United Bank,,,PBCT.O,,PBCT,People's United Bank
Pepco Holdings Inc.,,POM.N,,,POM,Pepco Holdings Inc.
PepsiCo,Consumer Staples,PEP.N,,,PEP,PepsiCo Inc.
PerkinElmer,Health Care,PKI.N,,,PKI,PerkinElmer
Perrigo,,PRGO.N,,,PRGO,Perrigo
"PetSmart, Inc.",,,PETM.O,,PETM,"PetSmart, Inc."
Pfizer Inc.,,PFE.N,,,PFE,Pfizer Inc.
Philip Morris International,,PM.N,,,PM,Philip Morris International
Phillips 66,,PSX.N,,,PSX,Phillips 66
Pinnacle West Capital,,PNW.N,,,PNW,Pinnacle West Capital
Pioneer Natural Resources,,PXD.N,,,PXD,Pioneer Natural Resources
Pitney Bowes,Industrials,PBI.N,,,PBI,Pitney-Bowes
Plum Creek Timber,Financials,PCL.N,,,PCL,Plum Creek Timber Co.
PNC Financial Services,Financials,PNC.N,,,PNC,PNC Financial Services
Polo Ralph Lauren,Consumer Discretionary,RL.N,,,RL,Polo Ralph Lauren Corp.
PPG Industries,Materials,PPG.N,,,PPG,PPG Industries
PPL Corporation,Utilities,PPL.N,,,PPL,PPL Corp.
Praxair,Materials,PX,,,PX,Praxair Inc.
Precision Castparts,Industrials,PCP.N,,,PCP,Precision Castparts
Priceline.com Inc,,,PCLN.O,,PCLN,Priceline.com Inc
Principal Financial Group,Financials,PFG.N,,,PFG,Principal Financial Group
Procter & Gamble,Consumer Staples,PG.N,,,PG,Procter & Gamble
Progressive,Financials,PGR.N,,,PGR,Progressive Corp.
ProLogis,Financials,PLD.N,,,PLD,Prologis
Prudential Financial,Financials,PRU.N,,,PRU,Prudential Financial
Public Service Enterprise Group,Utilities,PEG.N,,,PEG,Public Serv. Enterprise Inc.
Public Storage,Financials,PSA.N,,,PSA,Public Storage
Pulte Homes,Consumer Discretionary,PHM.N,,,PHM,Pulte Homes Inc.
PVH Corp.,,PVH.N,,,PVH,PVH Corp.
QEP Resources,,QEP.N,,,QEP,QEP Resources
Quanta Services Inc.,,PWR.N,,,PWR,Quanta Services Inc.
QUALCOMM Inc.,,,QCOM.O,,QCOM,QUALCOMM Inc.
Quest Diagnostics,Health Care,DGX.N,,,DGX,Quest Diagnostics
Range Resources Corp.,,RRC.N,,,RRC,Range Resources Corp.
Raytheon Co.,,RTN.N,,,RTN,Raytheon Co.
Red Hat Inc.,,RHT.N,,,RHT,Red Hat Inc.
Regeneron,,,REGN.O,,REGN,Regeneron
Regions Financial,Financials,RF.N,,,RF,Regions Financial Corp.
Republic Services Inc,,RSG.N,,,RSG,Republic Services Inc
Reynolds American,Consumer Staples,RAI.N,,,RAI,Reynolds American Inc.
Robert Half International,Industrials,RHI.N,,,RHI,Robert Half International
Rockwell Automation,Industrials,ROK.N,,,ROK,Rockwell Automation Inc.
Rockwell Collins,Industrials,COL.N,,,COL,Rockwell Collins
Roper Industries,,ROP.N,,,ROP,Roper Industries
Ross Stores,,,ROST.O,,ROST,Ross Stores
Rowan Companies,Energy,RDC.N,,,RDC,Rowan Cos.
Ryder System,Industrials,R.N,,,R,Ryder System
Safeway,Consumer Staples,SWY.N,,,SWY,Safeway Inc.
Salesforce.com,,CRM.N,,,CRM,Salesforce.com
SanDisk Corporation,,,SNDK.O,,SNDK,SanDisk Corporation
SCANA Corp,,SCG.N,,,SCG,SCANA Corp
Schlumberger,Energy,SLB.N,,,SLB,Schlumberger Ltd.
Scripps Networks Interactive Inc.,,SNI.N,,,SNI,Scripps Networks Interactive Inc.
Seagate Technology,,STX.O,,,STX,Seagate Technology
